qc_id,cadcost,datecreate,кад.н,bydoc,block_kn,unit,subtypeval,areavalue,fiasaddrs,фио,тел,оплат,догов,lon,lat,сумма,icon_url
"0","369902.25",,05:40:000020:2132,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"501","Дагестан респ, г Махачкала, п Красноармейск,уч. О",,,,,47.430872030501,43.0101908416028,,./0.png
"1","369902.25",,05:40:000020:2133,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"501","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.431097454739,43.0101195259739,,./0.png
"2","369163.92",,05:40:000020:2196,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск,уч. О","1","1","1","1",47.4300768416584,43.0101968242847,,./0.png
"19",,,,,,,,,,,,,,47.429885199219,43.0095043537414,,./0.png
"3","369163.92",,05:40:000020:2197,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск,уч. О","22","22",Полностью,"22",47.430302216525,43.0101256426264,,./0.png
"4","369163.92",,05:40:000020:2199,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск,уч. О","1","1",,,47.4307529033593,43.0099832782729,,./0.png
"5","369902.25",,05:40:000020:2200,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"501","Дагестан респ, г Махачкала, п Красноармейск,уч. О","1","1",Полностью,,47.4309783989116,43.0099120497057,,./0.png
"6","369163.92",,05:40:000020:2201,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Республика Дагестан, г. Махачкала, мкр ""ДОСААФ"", ул. Самолетная, 106","1","1",Полностью,"11",47.4312037697116,43.0098406412529,,./0.png
"7","369163.92",,05:40:000020:2422,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.4301402970134,43.0098434889044,,./0.png
"8","369163.92",,05:40:000020:2423,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.430365632348,43.0097723002051,,./0.png
"9","369163.92",,05:40:000020:2424,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.4305910434975,43.009701124902,,./0.png
"10","369902.25",,05:40:000020:2425,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"501","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.4308165150553,43.0096299038555,,./0.png
"11","369163.92",,05:40:000020:2426,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"500","Дагестан респ, г Махачкала, п Красноармейск,уч. О",,,,,47.431041869993,43.0095584816145,,./0.png
"12","330770.87",,05:40:000020:2491,Для индивидуальной жилой застройки,05:40:000020,"500",Землепользование,"448","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.4300568321064,43.0094441308658,,./0.png
"13","322153.96",,05:40:000020:2492,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"452","Дагестан респ, г Махачкала, п Красноармейск, уч. О",,,,,47.4303458056379,43.0094251319338,,./0.png
"14","184581.96",,05:40:000020:3404,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"250","Республика Дагестан, г Махачкала, с Красноармейск. уч№О",,,,,47.4305837974029,43.0100366897667,,./0.png
"15","184581.96",,05:40:000020:3405,Для индивидуальной жилой застройки,05:40:000020,,Землепользование,"250","Республика Дагестан, г Махачкала, мкр ДОСААФ, ул. Самолетная, 112""а",,,,,47.4304710773041,43.0100721876732,,./0.png
"16","1186492.85",,05:40:000020:4510,для индивидуальной жилой застройки,05:40:000020,,Землепользование,"1607","Республика Дагестан, г Махачкала, п Красноармейск, участок №О",,,,,47.4311013054181,43.0092813519513,,./0.png
"17","1476655.69",,05:40:000020:4511,для индивидуальной жилой застройки,05:40:000020,Для индивидуальной жилой застройки,Землепользование,"2000","Республика Дагестан, г Махачкала, п Красноармейск, участок №О",,,,,47.4300459762751,43.0096724085716,,./0.png
"18",,,05:40:000020:6493,для индивидуальной жилой застройки,05:40:000020,,Землепользование,"250","Республика Дагестан, г Махачкала, мкр  ДОСААФ, ул Самолетная, 90",,,,,47.4299712709569,43.0098968517148,,./0.png
